"ï»¿""Plot Title: ff2-107""",,,,
#,"Date Time, GMT+00:00","Wind Speed, mph","Gust Speed, mph",Wind Direction
127,1/29/2013 23:45,12.39,12.39,198
128,1/29/2013 23:45,10.69,10.69,188.1
129,1/29/2013 23:45,10.13,10.13,192.3
130,1/29/2013 23:45,10.69,10.69,195.1
131,1/29/2013 23:45,10.13,10.13,186.7
132,1/29/2013 23:45,11.27,11.27,174.1
133,1/29/2013 23:45,13.51,13.51,186.7
134,1/29/2013 23:45,11.27,11.27,153
135,1/29/2013 23:45,11.83,11.83,192.3
136,1/29/2013 23:45,10.69,10.69,188.1
137,1/29/2013 23:45,11.27,11.27,186.7
138,1/29/2013 23:46,11.83,11.83,181.1
139,1/29/2013 23:46,10.13,10.13,193.7
140,1/29/2013 23:46,12.39,12.39,172.7
141,1/29/2013 23:46,10.69,10.69,179.7
142,1/29/2013 23:46,14.09,14.09,198
143,1/29/2013 23:46,13.51,13.51,202.2
144,1/29/2013 23:46,9.57,9.57,198
145,1/29/2013 23:46,10.13,10.13,195.1
146,1/29/2013 23:46,10.69,10.69,167.1
147,1/29/2013 23:46,9.57,9.57,172.7
148,1/29/2013 23:46,12.95,12.95,192.3
149,1/29/2013 23:46,11.27,11.27,200.8
150,1/29/2013 23:46,16.89,16.89,185.3
151,1/29/2013 23:46,15.77,15.77,174.1
152,1/29/2013 23:46,13.51,13.51,189.5
153,1/29/2013 23:46,12.39,12.39,176.9
154,1/29/2013 23:46,13.51,13.51,203.6
155,1/29/2013 23:46,12.39,12.39,202.2
156,1/29/2013 23:46,12.39,12.39,196.5
157,1/29/2013 23:46,12.39,12.39,182.5
158,1/29/2013 23:47,11.27,11.27,185.3
159,1/29/2013 23:47,9.01,9.01,174.1
160,1/29/2013 23:47,9.01,9.01,192.3
161,1/29/2013 23:47,9.57,9.57,202.2
162,1/29/2013 23:47,9.57,9.57,198
163,1/29/2013 23:47,9.01,9.01,185.3
164,1/29/2013 23:47,9.57,9.57,176.9
165,1/29/2013 23:47,10.69,10.69,193.7
166,1/29/2013 23:47,14.65,14.65,192.3
167,1/29/2013 23:47,16.33,16.33,186.7
168,1/29/2013 23:47,15.77,15.77,196.5
169,1/29/2013 23:47,15.21,15.21,188.1
170,1/29/2013 23:47,12.95,12.95,195.1
171,1/29/2013 23:47,11.27,11.27,182.5
172,1/29/2013 23:47,10.13,10.13,185.3
173,1/29/2013 23:47,11.27,11.27,189.5
174,1/29/2013 23:47,15.21,15.21,157.2
175,1/29/2013 23:47,12.39,12.39,202.2
176,1/29/2013 23:47,13.51,13.51,174.1
177,1/29/2013 23:47,14.65,14.65,172.7
178,1/29/2013 23:48,13.51,13.51,172.7
179,1/29/2013 23:48,12.39,12.39,157.2
180,1/29/2013 23:48,12.95,12.95,182.5
181,1/29/2013 23:48,15.21,15.21,179.7
182,1/29/2013 23:48,11.83,11.83,202.2
183,1/29/2013 23:48,11.27,11.27,176.9
184,1/29/2013 23:48,14.09,14.09,186.7
185,1/29/2013 23:48,14.65,14.65,186.7
186,1/29/2013 23:48,14.09,14.09,185.3
187,1/29/2013 23:48,14.09,14.09,188.1
188,1/29/2013 23:48,12.95,12.95,181.1
189,1/29/2013 23:48,14.65,14.65,193.7
190,1/29/2013 23:48,13.51,13.51,193.7
191,1/29/2013 23:48,13.51,13.51,192.3
192,1/29/2013 23:48,13.51,13.51,202.2
193,1/29/2013 23:48,12.95,12.95,176.9
194,1/29/2013 23:48,14.09,14.09,186.7
195,1/29/2013 23:48,12.39,12.39,186.7
196,1/29/2013 23:48,12.95,12.95,186.7
197,1/29/2013 23:48,10.13,10.13,188.1
198,1/29/2013 23:49,12.95,12.95,186.7
199,1/29/2013 23:49,12.95,12.95,172.7
200,1/29/2013 23:49,13.51,13.51,185.3
201,1/29/2013 23:49,14.09,14.09,186.7
202,1/29/2013 23:49,14.65,14.65,189.5
203,1/29/2013 23:49,15.21,15.21,198
204,1/29/2013 23:49,14.65,14.65,202.2
205,1/29/2013 23:49,14.09,14.09,193.7
206,1/29/2013 23:49,14.65,14.65,196.5
207,1/29/2013 23:49,13.51,13.51,196.5
208,1/29/2013 23:49,11.27,11.27,202.2
209,1/29/2013 23:49,9.57,9.57,182.5
210,1/29/2013 23:49,9.01,9.01,188.1
211,1/29/2013 23:49,9.57,9.57,189.5
212,1/29/2013 23:49,11.27,11.27,198
213,1/29/2013 23:49,8.46,8.46,176.9
214,1/29/2013 23:49,7.31,7.31,176.9
215,1/29/2013 23:49,9.57,9.57,186.7
216,1/29/2013 23:49,9.57,9.57,189.5
217,1/29/2013 23:49,8.46,8.46,186.7
218,1/29/2013 23:50,7.9,7.9,186.7
219,1/29/2013 23:50,9.57,9.57,186.7
220,1/29/2013 23:50,10.13,10.13,182.5
221,1/29/2013 23:50,11.27,11.27,196.5
222,1/29/2013 23:50,9.01,9.01,186.7
223,1/29/2013 23:50,14.09,14.09,181.1
224,1/29/2013 23:50,14.09,14.09,189.5
225,1/29/2013 23:50,14.09,14.09,189.5
226,1/29/2013 23:50,16.33,16.33,186.7
227,1/29/2013 23:50,16.89,16.89,198
228,1/29/2013 23:50,16.33,16.33,172.7
229,1/29/2013 23:50,18.03,18.03,188.1
230,1/29/2013 23:50,15.77,15.77,188.1
231,1/29/2013 23:50,14.09,14.09,192.3
232,1/29/2013 23:50,13.51,13.51,193.7
233,1/29/2013 23:50,12.95,12.95,176.9
234,1/29/2013 23:50,16.89,16.89,195.1
235,1/29/2013 23:50,18.03,18.03,198
236,1/29/2013 23:50,15.77,15.77,193.7
237,1/29/2013 23:50,16.33,16.33,181.1
238,1/29/2013 23:51,14.65,14.65,193.7
239,1/29/2013 23:51,15.21,15.21,167.1
240,1/29/2013 23:51,15.77,15.77,186.7
241,1/29/2013 23:51,13.51,13.51,198
242,1/29/2013 23:51,16.33,16.33,185.3
243,1/29/2013 23:51,18.03,18.03,219
244,1/29/2013 23:51,17.47,17.47,200.8
245,1/29/2013 23:51,16.89,16.89,188.1
246,1/29/2013 23:51,15.77,15.77,200.8
247,1/29/2013 23:51,15.21,15.21,192.3
248,1/29/2013 23:51,18.59,18.59,186.7
249,1/29/2013 23:51,20.29,20.29,206.4
250,1/29/2013 23:51,17.47,17.47,186.7
251,1/29/2013 23:51,15.21,15.21,164.3
252,1/29/2013 23:51,16.33,16.33,181.1
253,1/29/2013 23:51,16.33,16.33,176.9
254,1/29/2013 23:51,14.09,14.09,195.1
255,1/29/2013 23:51,12.39,12.39,206.4
256,1/29/2013 23:51,10.69,10.69,193.7
257,1/29/2013 23:51,14.09,14.09,219
258,1/29/2013 23:52,18.03,18.03,214.8
259,1/29/2013 23:52,15.77,15.77,206.4
260,1/29/2013 23:52,12.95,12.95,216.2
261,1/29/2013 23:52,12.95,12.95,223.2
262,1/29/2013 23:52,12.39,12.39,192.3
263,1/29/2013 23:52,10.13,10.13,192.3
264,1/29/2013 23:52,11.83,11.83,189.5
265,1/29/2013 23:52,9.57,9.57,203.6
266,1/29/2013 23:52,9.57,9.57,198
267,1/29/2013 23:52,10.13,10.13,202.2
268,1/29/2013 23:52,14.65,14.65,195.1
269,1/29/2013 23:52,12.95,12.95,195.1
270,1/29/2013 23:52,14.09,14.09,178.3
271,1/29/2013 23:52,12.39,12.39,174.1
272,1/29/2013 23:52,13.51,13.51,167.1
273,1/29/2013 23:52,11.83,11.83,182.5
274,1/29/2013 23:52,14.65,14.65,186.7
275,1/29/2013 23:52,13.51,13.51,174.1
276,1/29/2013 23:52,10.13,10.13,203.6
277,1/29/2013 23:52,13.51,13.51,195.1
278,1/29/2013 23:53,16.33,16.33,192.3
279,1/29/2013 23:53,13.51,13.51,214.8
280,1/29/2013 23:53,13.51,13.51,202.2
281,1/29/2013 23:53,16.33,16.33,200.8
282,1/29/2013 23:53,15.77,15.77,202.2
283,1/29/2013 23:53,14.09,14.09,202.2
284,1/29/2013 23:53,15.21,15.21,206.4
285,1/29/2013 23:53,13.51,13.51,202.2
286,1/29/2013 23:53,15.21,15.21,206.4
287,1/29/2013 23:53,12.95,12.95,195.1
288,1/29/2013 23:53,11.27,11.27,212
289,1/29/2013 23:53,10.13,10.13,198
290,1/29/2013 23:53,10.13,10.13,198
291,1/29/2013 23:53,10.13,10.13,188.1
292,1/29/2013 23:53,9.01,9.01,192.3
293,1/29/2013 23:53,9.57,9.57,182.5
294,1/29/2013 23:53,12.39,12.39,176.9
295,1/29/2013 23:53,10.69,10.69,178.3
296,1/29/2013 23:53,12.95,12.95,178.3
297,1/29/2013 23:53,13.51,13.51,165.7
298,1/29/2013 23:54,10.69,10.69,182.5
299,1/29/2013 23:54,11.83,11.83,196.5
300,1/29/2013 23:54,9.01,9.01,189.5
301,1/29/2013 23:54,9.01,9.01,172.7
302,1/29/2013 23:54,10.69,10.69,188.1
303,1/29/2013 23:54,9.01,9.01,172.7
304,1/29/2013 23:54,14.65,14.65,188.1
305,1/29/2013 23:54,13.51,13.51,186.7
306,1/29/2013 23:54,13.51,13.51,185.3
307,1/29/2013 23:54,11.27,11.27,185.3
308,1/29/2013 23:54,13.51,13.51,193.7
309,1/29/2013 23:54,13.51,13.51,188.1
310,1/29/2013 23:54,13.51,13.51,185.3
311,1/29/2013 23:54,12.39,12.39,196.5
312,1/29/2013 23:54,11.83,11.83,195.1
313,1/29/2013 23:54,12.39,12.39,193.7
314,1/29/2013 23:54,13.51,13.51,198
315,1/29/2013 23:54,11.27,11.27,206.4
316,1/29/2013 23:54,10.69,10.69,200.8
317,1/29/2013 23:54,9.57,9.57,206.4
318,1/29/2013 23:55,10.13,10.13,212
319,1/29/2013 23:55,9.01,9.01,216.2
320,1/29/2013 23:55,9.01,9.01,212
321,1/29/2013 23:55,7.9,7.9,202.2
322,1/29/2013 23:55,5.64,5.64,188.1
323,1/29/2013 23:55,6.76,6.76,188.1
324,1/29/2013 23:55,6.76,6.76,189.5
325,1/29/2013 23:55,7.31,7.31,192.3
326,1/29/2013 23:55,7.31,7.31,209.2
327,1/29/2013 23:55,8.46,8.46,192.3
328,1/29/2013 23:55,7.9,7.9,200.8
329,1/29/2013 23:55,8.46,8.46,198
330,1/29/2013 23:55,7.9,7.9,203.6
331,1/29/2013 23:55,9.01,9.01,196.5
332,1/29/2013 23:55,9.01,9.01,212
333,1/29/2013 23:55,8.46,8.46,202.2
334,1/29/2013 23:55,8.46,8.46,198
335,1/29/2013 23:55,7.9,7.9,193.7
336,1/29/2013 23:55,6.76,6.76,198
337,1/29/2013 23:55,10.13,10.13,178.3
338,1/29/2013 23:56,7.9,7.9,185.3
339,1/29/2013 23:56,8.46,8.46,193.7
340,1/29/2013 23:56,9.01,9.01,192.3
341,1/29/2013 23:56,9.57,9.57,182.5
342,1/29/2013 23:56,9.01,9.01,185.3
343,1/29/2013 23:56,9.57,9.57,188.1
344,1/29/2013 23:56,10.69,10.69,198
345,1/29/2013 23:56,12.39,12.39,185.3
346,1/29/2013 23:56,16.89,16.89,193.7
347,1/29/2013 23:56,14.65,14.65,192.3
348,1/29/2013 23:56,15.21,15.21,186.7
349,1/29/2013 23:56,14.65,14.65,188.1
350,1/29/2013 23:56,14.65,14.65,188.1
351,1/29/2013 23:56,14.09,14.09,202.2
352,1/29/2013 23:56,14.09,14.09,202.2
353,1/29/2013 23:56,11.83,11.83,188.1
354,1/29/2013 23:56,10.69,10.69,182.5
355,1/29/2013 23:56,10.69,10.69,185.3
356,1/29/2013 23:56,10.69,10.69,176.9
357,1/29/2013 23:56,11.27,11.27,202.2
358,1/29/2013 23:57,9.01,9.01,202.2
359,1/29/2013 23:57,10.69,10.69,196.5
360,1/29/2013 23:57,10.13,10.13,188.1
361,1/29/2013 23:57,11.27,11.27,181.1
362,1/29/2013 23:57,12.95,12.95,181.1
363,1/29/2013 23:57,15.77,15.77,181.1
364,1/29/2013 23:57,13.51,13.51,171.3
365,1/29/2013 23:57,12.39,12.39,193.7
366,1/29/2013 23:57,12.95,12.95,200.8
