"¥éË""Plot Title: ff2-66""",,,,
#,"Date Time, GMT+00:00","Wind Speed, mph","Gust Speed, mph","Wind Direction, íŸ"
1,1/29/2013 22:40,142.52,24.23,133.4
2,1/29/2013 22:40,10.13,10.13,178.3
3,1/29/2013 22:40,12.39,12.39,169.9
4,1/29/2013 22:40,10.69,10.69,164.3
5,1/29/2013 22:40,10.69,10.69,171.3
6,1/29/2013 22:40,12.39,12.39,174.1
7,1/29/2013 22:41,11.83,11.83,171.3
8,1/29/2013 22:41,11.27,11.27,171.3
9,1/29/2013 22:41,10.69,10.69,162.9
10,1/29/2013 22:41,7.9,7.9,182.5
11,1/29/2013 22:41,10.69,10.69,186.7
12,1/29/2013 22:41,8.46,8.46,178.3
13,1/29/2013 22:41,7.31,7.31,186.7
14,1/29/2013 22:41,7.9,7.9,195.1
15,1/29/2013 22:41,6.76,6.76,193.7
16,1/29/2013 22:41,6.2,6.2,178.3
17,1/29/2013 22:41,5.08,5.08,181.1
18,1/29/2013 22:41,6.2,6.2,181.1
19,1/29/2013 22:41,6.76,6.76,157.2
20,1/29/2013 22:41,9.01,9.01,147.4
21,1/29/2013 22:41,6.76,6.76,169.9
22,1/29/2013 22:41,6.76,6.76,198
23,1/29/2013 22:41,7.9,7.9,206.4
24,1/29/2013 22:41,11.83,11.83,196.5
25,1/29/2013 22:41,9.57,9.57,195.1
26,1/29/2013 22:41,9.57,9.57,181.1
27,1/29/2013 22:42,8.46,8.46,192.3
28,1/29/2013 22:42,7.9,7.9,178.3
29,1/29/2013 22:42,11.83,11.83,155.8
30,1/29/2013 22:42,10.13,10.13,188.1
31,1/29/2013 22:42,9.57,9.57,171.3
32,1/29/2013 22:42,10.13,10.13,171.3
33,1/29/2013 22:42,12.39,12.39,186.7
34,1/29/2013 22:42,13.51,13.51,171.3
35,1/29/2013 22:42,14.09,14.09,151.6
36,1/29/2013 22:42,13.51,13.51,165.7
37,1/29/2013 22:42,11.83,11.83,143.2
38,1/29/2013 22:42,7.31,7.31,139
39,1/29/2013 22:42,7.9,7.9,165.7
40,1/29/2013 22:42,9.01,9.01,171.3
41,1/29/2013 22:42,10.69,10.69,181.1
42,1/29/2013 22:42,14.65,14.65,212
43,1/29/2013 22:42,10.69,10.69,202.2
44,1/29/2013 22:42,9.01,9.01,189.5
45,1/29/2013 22:42,8.46,8.46,214.8
46,1/29/2013 22:42,9.01,9.01,202.2
47,1/29/2013 22:43,9.01,9.01,181.1
48,1/29/2013 22:43,8.46,8.46,169.9
49,1/29/2013 22:43,9.57,9.57,153
50,1/29/2013 22:43,9.01,9.01,179.7
51,1/29/2013 22:43,8.46,8.46,157.2
52,1/29/2013 22:43,9.01,9.01,165.7
53,1/29/2013 22:43,10.13,10.13,158.6
54,1/29/2013 22:43,10.69,10.69,164.3
55,1/29/2013 22:43,8.46,8.46,186.7
56,1/29/2013 22:43,11.27,11.27,150.2
57,1/29/2013 22:43,10.69,10.69,174.1
58,1/29/2013 22:43,9.57,9.57,203.6
59,1/29/2013 22:43,8.46,8.46,206.4
60,1/29/2013 22:43,7.9,7.9,186.7
61,1/29/2013 22:43,6.2,6.2,181.1
62,1/29/2013 22:43,7.9,7.9,179.7
63,1/29/2013 22:43,9.57,9.57,165.7
64,1/29/2013 22:43,9.01,9.01,182.5
65,1/29/2013 22:43,10.13,10.13,96.9
66,1/29/2013 22:43,7.31,7.31,161.5
67,1/29/2013 22:44,10.69,10.69,165.7
68,1/29/2013 22:44,11.83,11.83,186.7
69,1/29/2013 22:44,14.09,14.09,167.1
70,1/29/2013 22:44,13.51,13.51,172.7
71,1/29/2013 22:44,12.39,12.39,179.7
72,1/29/2013 22:44,10.69,10.69,186.7
73,1/29/2013 22:44,12.39,12.39,196.5
74,1/29/2013 22:44,11.27,11.27,161.5
75,1/29/2013 22:44,12.95,12.95,178.3
76,1/29/2013 22:44,11.27,11.27,172.7
77,1/29/2013 22:44,11.27,11.27,172.7
78,1/29/2013 22:44,9.57,9.57,174.1
79,1/29/2013 22:44,8.46,8.46,174.1
80,1/29/2013 22:44,8.46,8.46,176.9
81,1/29/2013 22:44,13.51,13.51,164.3
82,1/29/2013 22:44,9.57,9.57,182.5
83,1/29/2013 22:44,12.39,12.39,176.9
84,1/29/2013 22:44,11.83,11.83,181.1
85,1/29/2013 22:44,11.27,11.27,178.3
86,1/29/2013 22:44,8.46,8.46,153
87,1/29/2013 22:45,10.13,10.13,172.7
88,1/29/2013 22:45,12.95,12.95,176.9
89,1/29/2013 22:45,11.27,11.27,174.1
90,1/29/2013 22:45,9.57,9.57,144.6
91,1/29/2013 22:45,9.01,9.01,171.3
92,1/29/2013 22:45,6.2,6.2,178.3
93,1/29/2013 22:45,7.9,7.9,164.3
94,1/29/2013 22:45,11.27,11.27,178.3
95,1/29/2013 22:45,12.39,12.39,186.7
96,1/29/2013 22:45,12.39,12.39,186.7
97,1/29/2013 22:45,13.51,13.51,167.1
98,1/29/2013 22:45,9.01,9.01,178.3
99,1/29/2013 22:45,9.01,9.01,165.7
100,1/29/2013 22:45,9.01,9.01,157.2
101,1/29/2013 22:45,8.46,8.46,150.2
102,1/29/2013 22:45,6.76,6.76,174.1
103,1/29/2013 22:45,7.31,7.31,172.7
104,1/29/2013 22:45,9.57,9.57,182.5
105,1/29/2013 22:45,9.01,9.01,169.9
106,1/29/2013 22:45,9.57,9.57,167.1
107,1/29/2013 22:46,8.46,8.46,172.7
108,1/29/2013 22:46,8.46,8.46,192.3
109,1/29/2013 22:46,7.9,7.9,192.3
110,1/29/2013 22:46,9.01,9.01,188.1
111,1/29/2013 22:46,10.13,10.13,161.5
112,1/29/2013 22:46,9.01,9.01,174.1
113,1/29/2013 22:46,8.46,8.46,188.1
114,1/29/2013 22:46,9.01,9.01,193.7
115,1/29/2013 22:46,9.57,9.57,186.7
116,1/29/2013 22:46,7.31,7.31,195.1
117,1/29/2013 22:46,9.01,9.01,179.7
118,1/29/2013 22:46,11.27,11.27,196.5
119,1/29/2013 22:46,7.31,7.31,237.3
120,1/29/2013 22:46,7.9,7.9,155.8
121,1/29/2013 22:46,12.95,12.95,193.7
122,1/29/2013 22:46,16.33,16.33,198
123,1/29/2013 22:46,14.09,14.09,207.8
124,1/29/2013 22:46,12.95,12.95,193.7
125,1/29/2013 22:46,14.65,14.65,203.6
126,1/29/2013 22:46,15.21,15.21,202.2
127,1/29/2013 22:47,12.95,12.95,196.5
128,1/29/2013 22:47,10.13,10.13,174.1
129,1/29/2013 22:47,9.57,9.57,165.7
130,1/29/2013 22:47,8.46,8.46,172.7
131,1/29/2013 22:47,7.31,7.31,174.1
132,1/29/2013 22:47,7.31,7.31,176.9
133,1/29/2013 22:47,7.31,7.31,182.5
134,1/29/2013 22:47,7.31,7.31,182.5
135,1/29/2013 22:47,7.9,7.9,186.7
136,1/29/2013 22:47,7.31,7.31,169.9
137,1/29/2013 22:47,7.31,7.31,179.7
138,1/29/2013 22:47,9.01,9.01,186.7
139,1/29/2013 22:47,8.46,8.46,176.9
140,1/29/2013 22:47,8.46,8.46,179.7
141,1/29/2013 22:47,7.31,7.31,161.5
142,1/29/2013 22:47,8.46,8.46,171.3
143,1/29/2013 22:47,8.46,8.46,182.5
144,1/29/2013 22:47,8.46,8.46,178.3
145,1/29/2013 22:47,9.57,9.57,179.7
146,1/29/2013 22:47,10.13,10.13,176.9
147,1/29/2013 22:48,9.57,9.57,165.7
148,1/29/2013 22:48,10.69,10.69,172.7
149,1/29/2013 22:48,12.95,12.95,182.5
150,1/29/2013 22:48,15.21,15.21,169.9
151,1/29/2013 22:48,12.95,12.95,176.9
152,1/29/2013 22:48,13.51,13.51,164.3
153,1/29/2013 22:48,11.27,11.27,165.7
154,1/29/2013 22:48,10.69,10.69,182.5
155,1/29/2013 22:48,10.69,10.69,178.3
156,1/29/2013 22:48,11.27,11.27,188.1
157,1/29/2013 22:48,9.01,9.01,172.7
158,1/29/2013 22:48,11.27,11.27,178.3
159,1/29/2013 22:48,11.27,11.27,147.4
160,1/29/2013 22:48,6.2,6.2,130.6
161,1/29/2013 22:48,5.08,5.08,157.2
162,1/29/2013 22:48,6.2,6.2,144.6
163,1/29/2013 22:48,7.31,7.31,186.7
164,1/29/2013 22:48,9.01,9.01,202.2
165,1/29/2013 22:48,11.83,11.83,182.5
166,1/29/2013 22:48,15.21,15.21,202.2
167,1/29/2013 22:49,15.21,15.21,181.1
168,1/29/2013 22:49,16.33,16.33,186.7
169,1/29/2013 22:49,12.95,12.95,182.5
170,1/29/2013 22:49,7.9,7.9,165.7
171,1/29/2013 22:49,5.64,5.64,102.5
172,1/29/2013 22:49,5.08,5.08,117.9
173,1/29/2013 22:49,6.76,6.76,162.9
174,1/29/2013 22:49,10.13,10.13,189.5
175,1/29/2013 22:49,11.83,11.83,182.5
