"ï»¿""Plot Title: ff2-85""",,,,
#,"Date Time, GMT+00:00","Wind Speed, mph","Gust Speed, mph",Wind Direction
126,1/29/2013 22:53,12.39,12.39,195.1
127,1/29/2013 22:53,11.27,11.27,202.2
128,1/29/2013 22:53,9.57,9.57,185.3
129,1/29/2013 22:53,12.95,12.95,176.9
130,1/29/2013 22:53,13.51,13.51,172.7
131,1/29/2013 22:53,11.83,11.83,176.9
132,1/29/2013 22:53,10.69,10.69,179.7
133,1/29/2013 22:53,11.27,11.27,179.7
134,1/29/2013 22:54,9.01,9.01,169.9
135,1/29/2013 22:54,9.57,9.57,196.5
136,1/29/2013 22:54,10.13,10.13,200.8
137,1/29/2013 22:54,9.01,9.01,172.7
138,1/29/2013 22:54,7.31,7.31,207.8
139,1/29/2013 22:54,6.76,6.76,153
140,1/29/2013 22:54,9.57,9.57,196.5
141,1/29/2013 22:54,9.57,9.57,158.6
142,1/29/2013 22:54,10.13,10.13,179.7
143,1/29/2013 22:54,12.95,12.95,155.8
144,1/29/2013 22:54,14.65,14.65,161.5
145,1/29/2013 22:54,11.83,11.83,165.7
146,1/29/2013 22:54,10.13,10.13,188.1
147,1/29/2013 22:54,11.27,11.27,140.4
148,1/29/2013 22:54,11.27,11.27,169.9
149,1/29/2013 22:54,9.01,9.01,178.3
150,1/29/2013 22:54,10.69,10.69,181.1
151,1/29/2013 22:54,10.69,10.69,174.1
152,1/29/2013 22:54,11.83,11.83,158.6
153,1/29/2013 22:54,11.27,11.27,179.7
154,1/29/2013 22:55,9.57,9.57,155.8
155,1/29/2013 22:55,7.9,7.9,158.6
156,1/29/2013 22:55,8.46,8.46,136.2
157,1/29/2013 22:55,7.31,7.31,174.1
158,1/29/2013 22:55,6.2,6.2,176.9
159,1/29/2013 22:55,7.9,7.9,176.9
160,1/29/2013 22:55,9.01,9.01,161.5
161,1/29/2013 22:55,9.57,9.57,169.9
162,1/29/2013 22:55,14.65,14.65,164.3
163,1/29/2013 22:55,13.51,13.51,174.1
164,1/29/2013 22:55,16.33,16.33,186.7
165,1/29/2013 22:55,14.09,14.09,181.1
166,1/29/2013 22:55,14.65,14.65,169.9
167,1/29/2013 22:55,14.65,14.65,188.1
168,1/29/2013 22:55,10.13,10.13,186.7
169,1/29/2013 22:55,14.09,14.09,178.3
170,1/29/2013 22:55,12.39,12.39,182.5
171,1/29/2013 22:55,10.69,10.69,167.1
172,1/29/2013 22:55,12.39,12.39,186.7
173,1/29/2013 22:55,10.13,10.13,171.3
174,1/29/2013 22:56,8.46,8.46,172.7
175,1/29/2013 22:56,8.46,8.46,178.3
176,1/29/2013 22:56,9.57,9.57,181.1
177,1/29/2013 22:56,10.13,10.13,185.3
178,1/29/2013 22:56,10.13,10.13,174.1
179,1/29/2013 22:56,10.13,10.13,195.1
180,1/29/2013 22:56,8.46,8.46,185.3
181,1/29/2013 22:56,8.46,8.46,200.8
182,1/29/2013 22:56,9.01,9.01,181.1
183,1/29/2013 22:56,11.83,11.83,169.9
184,1/29/2013 22:56,10.13,10.13,172.7
185,1/29/2013 22:56,11.27,11.27,172.7
186,1/29/2013 22:56,11.83,11.83,188.1
187,1/29/2013 22:56,11.27,11.27,186.7
188,1/29/2013 22:56,8.46,8.46,171.3
189,1/29/2013 22:56,6.2,6.2,189.5
190,1/29/2013 22:56,7.9,7.9,186.7
191,1/29/2013 22:56,9.01,9.01,188.1
192,1/29/2013 22:56,10.13,10.13,188.1
193,1/29/2013 22:56,8.46,8.46,214.8
194,1/29/2013 22:57,7.9,7.9,203.6
195,1/29/2013 22:57,6.2,6.2,181.1
196,1/29/2013 22:57,5.08,5.08,162.9
197,1/29/2013 22:57,5.64,5.64,162.9
198,1/29/2013 22:57,10.13,10.13,161.5
199,1/29/2013 22:57,9.57,9.57,136.2
200,1/29/2013 22:57,9.57,9.57,134.8
