,TIMESTAMP,Ux_20m,Uy_20m,Uz_20m,Ts_20m,Ux_10m,Uy_10m,Uz_10m,Ts_10m,Ux_6m,Uy_6m,Uz_6m,Ts_6m
125,2013-01-30 15:00:00,7.73,-8.79,0.27,13.32,6.08,-9.12,-0.89,13.07,6.06,-8.34,-0.74,15.23
126,2013-01-30 15:00:00,7.89,-8.7,0.19,13.34,5.53,-9.0,-1.71,13.02,6.16,-8.48,-1.71,15.08
127,2013-01-30 15:00:00,7.92,-9.45,0.25,13.37,6.42,-8.77,-1.73,12.99,6.28,-8.96,-0.74,14.97
128,2013-01-30 15:00:00,8.23,-9.47,0.47,13.36,6.99,-8.77,-1.69,13.02,5.91,-8.31,-0.17,15.11
129,2013-01-30 15:00:00,7.87,-10.18,0.33,13.43,7.38,-9.38,-1.84,13.07,6.25,-8.34,0.3,15.2
130,2013-01-30 15:00:00,7.55,-9.92,0.25,13.44,7.81,-9.33,-1.51,13.09,7.0,-7.27,-0.22,15.74
131,2013-01-30 15:00:00,7.56,-9.47,0.12,13.41,7.82,-10.08,-1.13,13.13,7.73,-7.49,-0.01,16.07
132,2013-01-30 15:00:00,7.43,-9.77,0.2,13.39,7.38,-9.19,-1.52,13.12,7.48,-7.78,-1.14,15.92
133,2013-01-30 15:00:00,7.09,-9.96,-0.31,13.37,7.3,-8.68,-1.69,13.11,7.66,-8.08,-1.79,15.12
134,2013-01-30 15:00:00,7.89,-9.67,-1.16,13.39,7.11,-9.24,-1.33,13.04,7.37,-8.21,-2.63,15.04
135,2013-01-30 15:00:00,8.14,-9.86,-1.11,13.36,6.26,-9.65,-0.38,13.03,7.08,-8.64,-2.08,15.01
136,2013-01-30 15:00:00,8.29,-9.83,-1.0,13.37,5.91,-9.2,-1.34,13.04,7.04,-9.72,-1.58,15.17
137,2013-01-30 15:00:00,8.11,-10.81,-1.13,13.37,6.34,-9.51,-2.08,13.05,7.05,-8.43,-1.33,15.12
138,2013-01-30 15:00:00,8.75,-11.64,-1.14,13.37,7.26,-9.88,-1.15,13.06,5.45,-7.89,-1.19,15.04
139,2013-01-30 15:00:00,8.34,-11.98,-1.71,13.22,8.11,-10.04,-1.06,13.17,6.03,-9.25,0.08,14.95
140,2013-01-30 15:00:00,8.47,-11.57,-2.51,13.12,7.4,-10.28,-1.07,13.15,6.28,-8.94,0.3,15.09
141,2013-01-30 15:00:00,9.02,-10.97,-3.31,12.75,7.93,-10.05,-1.07,13.11,6.46,-8.44,0.25,15.11
142,2013-01-30 15:00:00,9.49,-10.21,-3.6,13.09,7.36,-9.44,-2.46,13.2,5.41,-9.28,-0.16,15.1
143,2013-01-30 15:00:00,9.59,-9.22,-2.77,13.21,7.84,-8.76,-3.48,13.18,6.4,-10.0,0.15,15.18
144,2013-01-30 15:00:00,8.72,-9.15,-2.15,12.96,7.17,-8.22,-1.86,13.12,6.25,-9.57,-0.24,15.12
145,2013-01-30 15:00:00,9.1,-9.28,-2.26,12.9,6.6,-9.12,-0.87,13.16,6.97,-9.11,-2.35,15.09
146,2013-01-30 15:00:00,9.22,-9.59,-1.45,13.28,6.07,-9.63,-0.65,13.19,5.73,-8.12,-1.94,15.03
147,2013-01-30 15:00:00,9.03,-10.2,-0.73,13.45,6.69,-10.84,-0.58,13.24,5.66,-8.22,-1.0,15.11
148,2013-01-30 15:00:00,10.56,-9.57,-0.37,13.51,6.21,-9.93,-0.14,13.16,5.42,-8.83,-0.73,15.14
149,2013-01-30 15:00:00,9.33,-10.36,-0.51,13.53,5.94,-9.94,-0.64,13.19,5.95,-8.54,-0.3,15.25
150,2013-01-30 15:00:00,10.43,-10.08,0.5,13.52,6.4,-10.04,-0.46,13.26,5.63,-8.61,-0.38,15.25
151,2013-01-30 15:00:00,10.67,-9.67,0.36,13.56,6.34,-9.98,-0.72,13.23,5.87,-8.67,-0.91,15.23
152,2013-01-30 15:00:00,10.68,-9.41,-0.01,13.54,6.42,-9.0,-0.74,13.17,5.2,-9.55,-1.42,15.2
153,2013-01-30 15:00:00,11.24,-9.22,0.94,13.6,6.37,-8.75,0.81,13.16,5.3,-8.83,-0.41,15.31
154,2013-01-30 15:00:00,10.56,-7.65,0.5,13.54,5.86,-9.2,0.62,13.22,6.12,-8.58,-0.52,15.4
155,2013-01-30 15:00:00,10.66,-8.25,0.03,13.54,6.07,-8.8,0.3,13.22,5.31,-8.87,-0.98,15.52
156,2013-01-30 15:00:00,10.0,-8.81,0.31,13.59,6.54,-9.07,-0.13,13.25,3.83,-9.23,-0.28,15.31
157,2013-01-30 15:00:00,9.67,-8.36,0.71,13.63,6.92,-9.01,-0.5,13.29,4.22,-9.72,0.3,15.37
158,2013-01-30 15:00:00,9.62,-7.47,0.39,13.55,6.12,-8.86,-1.06,13.28,4.86,-9.27,-0.54,15.46
159,2013-01-30 15:00:00,9.47,-7.12,0.32,13.57,6.62,-9.24,-0.57,13.33,4.43,-8.29,-0.17,15.36
160,2013-01-30 15:00:00,9.61,-6.8,1.41,13.58,6.79,-9.26,1.21,13.26,4.09,-8.25,0.64,15.4
161,2013-01-30 15:00:00,8.48,-6.92,1.51,13.59,7.0,-9.48,1.33,13.3,3.65,-8.52,0.25,15.59
162,2013-01-30 15:00:00,8.62,-6.95,1.65,13.55,6.76,-7.95,1.36,13.37,3.69,-9.37,0.65,15.76
163,2013-01-30 15:00:00,7.88,-6.83,2.01,13.51,7.22,-8.66,0.72,13.37,4.06,-8.17,-0.05,15.76
164,2013-01-30 15:00:00,6.84,-6.55,2.5,13.51,7.16,-8.95,0.78,13.32,4.84,-8.53,0.38,16.0
165,2013-01-30 15:00:00,7.54,-8.49,2.25,13.46,6.83,-8.88,1.31,13.3,4.5,-8.06,0.78,15.67
166,2013-01-30 15:00:00,7.91,-7.87,2.51,13.5,6.26,-8.89,1.56,13.44,5.64,-8.19,0.1,15.49
167,2013-01-30 15:00:00,7.94,-9.73,1.05,13.6,5.82,-8.89,0.81,13.48,6.33,-8.84,0.88,15.72
168,2013-01-30 15:00:00,7.02,-9.3,1.56,13.56,6.58,-9.01,0.71,13.5,6.35,-8.05,-0.21,15.67
169,2013-01-30 15:00:00,7.92,-9.51,1.25,13.57,5.97,-9.59,0.49,13.53,6.94,-7.55,-0.32,15.83
170,2013-01-30 15:00:00,8.04,-10.55,1.14,13.55,5.68,-8.55,0.34,13.63,6.7,-7.87,0.0,15.79
171,2013-01-30 15:00:00,7.99,-10.05,1.09,13.68,6.15,-6.23,-0.47,13.51,4.45,-7.36,-0.54,15.72
172,2013-01-30 15:00:00,8.13,-8.78,1.16,13.65,6.33,-6.76,0.04,13.55,3.08,-7.58,0.72,15.65
173,2013-01-30 15:00:00,7.66,-9.54,0.86,13.6,6.74,-8.23,0.6,13.7,3.9,-8.09,1.52,16.06
174,2013-01-30 15:00:00,7.69,-9.15,0.82,13.66,7.05,-9.09,1.04,13.71,3.46,-6.82,1.19,16.13
175,2013-01-30 15:00:00,7.59,-8.26,0.77,13.57,7.5,-9.32,0.93,13.79,4.0,-7.39,0.8,16.02
176,2013-01-30 15:00:00,7.9,-8.41,0.07,13.56,7.54,-9.53,-0.02,13.69,6.11,-7.49,0.64,16.01
177,2013-01-30 15:00:00,8.09,-9.36,0.0,13.68,7.89,-10.47,0.88,13.7,4.77,-7.27,0.88,15.98
178,2013-01-30 15:00:00,8.3,-8.5,0.74,13.8,7.24,-9.85,0.21,13.45,6.74,-8.87,0.68,15.95
179,2013-01-30 15:00:00,7.91,-8.85,0.84,13.65,6.71,-7.21,-0.19,13.72,5.82,-9.04,0.99,16.11
180,2013-01-30 15:00:00,7.77,-9.35,0.17,13.6,6.97,-8.25,1.09,13.7,5.99,-8.33,1.43,16.17
181,2013-01-30 15:00:00,6.77,-9.53,0.06,13.44,6.48,-9.55,0.83,13.42,5.55,-9.05,0.91,16.24
182,2013-01-30 15:00:00,6.31,-8.63,0.67,13.34,6.89,-10.17,-1.37,13.34,6.16,-9.2,-1.6,15.35
183,2013-01-30 15:00:00,6.02,-8.63,1.41,13.41,6.5,-10.02,-2.53,13.37,7.03,-10.68,-1.51,15.47
184,2013-01-30 15:00:00,5.41,-10.44,0.82,13.46,7.1,-9.35,-1.58,13.4,7.84,-10.43,-2.4,15.36
185,2013-01-30 15:00:00,5.17,-10.87,0.99,13.36,7.35,-9.6,-2.01,13.43,7.74,-10.46,-1.4,15.46
186,2013-01-30 15:00:00,4.59,-11.18,0.26,12.93,7.66,-9.53,-2.45,13.33,7.45,-9.1,-3.14,15.3
187,2013-01-30 15:00:00,4.93,-10.49,0.76,13.0,6.5,-9.5,-1.73,13.2,7.89,-9.7,-2.23,14.97
188,2013-01-30 15:00:00,4.87,-10.05,0.54,12.86,6.84,-10.45,-1.51,13.38,7.77,-9.92,-0.95,15.41
189,2013-01-30 15:00:00,4.53,-10.13,-0.14,12.68,6.66,-10.42,-1.29,13.33,7.85,-9.87,-1.08,15.4
190,2013-01-30 15:00:00,4.7,-10.38,0.07,12.62,6.83,-10.31,-1.11,13.44,8.16,-9.49,-1.42,15.35
191,2013-01-30 15:00:00,4.96,-10.41,0.14,12.56,6.31,-9.52,-1.13,13.3,8.62,-8.67,-1.73,15.52
192,2013-01-30 15:00:00,4.84,-10.2,0.46,12.53,6.16,-9.79,-1.63,13.1,8.25,-8.84,-0.5,15.54
193,2013-01-30 15:00:00,5.39,-9.96,0.86,12.53,5.62,-9.02,-2.16,12.85,7.79,-7.01,0.32,15.46
194,2013-01-30 15:00:00,5.31,-10.05,0.95,12.53,5.64,-8.69,-1.0,13.33,6.43,-6.57,0.7,15.55
195,2013-01-30 15:00:00,4.64,-10.68,0.6,12.72,4.96,-8.69,0.63,13.5,5.89,-7.18,0.38,15.58
196,2013-01-30 15:00:00,5.04,-11.49,0.7,13.09,4.21,-8.36,0.61,13.54,6.7,-6.72,0.15,15.47
197,2013-01-30 15:00:00,5.84,-11.32,0.76,13.09,4.02,-9.27,-0.05,13.42,6.68,-7.36,-0.25,15.55
198,2013-01-30 15:00:00,5.51,-10.77,0.66,12.95,3.71,-9.02,-0.27,13.22,6.75,-8.96,-1.09,15.28
199,2013-01-30 15:00:00,4.58,-11.47,1.44,12.74,3.47,-8.56,-0.3,13.09,6.51,-8.81,-1.19,15.19
200,2013-01-30 15:00:00,5.1,-11.03,0.68,12.97,3.45,-8.96,-0.53,12.93,5.85,-9.01,-0.49,15.16
201,2013-01-30 15:00:00,5.63,-10.73,-0.3,13.02,3.48,-8.87,-0.3,12.78,6.79,-8.95,-1.19,15.21
202,2013-01-30 15:00:00,5.95,-11.64,0.71,13.05,3.69,-8.56,-0.17,12.82,6.51,-8.59,-0.9,15.2
203,2013-01-30 15:00:00,6.61,-11.2,1.95,13.18,4.4,-8.86,-0.45,12.86,6.18,-8.36,-0.82,15.48
204,2013-01-30 15:00:00,6.86,-11.35,2.09,13.31,4.36,-9.13,-0.09,12.95,7.23,-8.96,-0.81,15.55
205,2013-01-30 15:00:00,6.83,-11.6,1.6,13.21,4.07,-8.96,-0.2,13.2,6.26,-8.84,-0.61,15.2
206,2013-01-30 15:00:00,6.49,-11.35,0.58,13.18,5.77,-8.57,-0.09,13.16,6.48,-8.14,-0.83,15.29
207,2013-01-30 15:00:00,6.78,-12.18,-0.77,13.2,6.06,-8.55,0.0,13.19,6.12,-7.91,-0.61,15.22
208,2013-01-30 15:00:00,6.43,-12.62,0.16,13.27,5.07,-8.65,-0.32,13.21,5.53,-8.37,-0.34,15.42
209,2013-01-30 15:00:00,6.2,-13.06,0.94,13.25,5.05,-8.39,-0.29,13.37,5.69,-7.56,-0.46,15.32
210,2013-01-30 15:00:00,6.69,-12.1,0.23,13.28,4.76,-8.6,0.3,13.46,5.96,-8.54,-1.23,15.47
211,2013-01-30 15:00:00,5.84,-11.02,1.36,13.37,4.55,-8.53,0.69,13.51,6.73,-8.4,-0.69,15.52
212,2013-01-30 15:00:00,6.45,-10.25,-0.2,13.31,4.52,-8.37,0.51,13.57,6.02,-8.17,-0.75,15.57
213,2013-01-30 15:00:00,6.71,-10.05,0.55,13.27,5.29,-8.18,0.07,13.71,6.49,-8.52,-0.37,15.71
214,2013-01-30 15:00:00,6.2,-10.15,-0.53,13.22,4.65,-8.39,0.5,13.75,6.76,-8.87,1.1,15.83
215,2013-01-30 15:00:00,6.96,-8.97,-0.21,13.2,4.61,-8.6,0.44,13.85,6.46,-9.39,-0.16,15.73
216,2013-01-30 15:00:00,7.3,-8.88,-0.66,13.26,3.73,-8.43,0.95,13.83,8.16,-9.25,0.27,15.84
217,2013-01-30 15:00:00,7.11,-9.35,0.48,13.3,3.29,-8.61,1.02,13.91,6.7,-9.19,-0.95,15.75
